duration,start_time,start_stn,start_term,end_time,end_stn,end_term,bikenum,user,zipcode
480,2/1/14 15:59,Adobe on Almaden,5,2/1/14 16:07,Arena Green / SAP Center,14,685,Customer,95122
146,2/1/14 16:41,MLK Library,11,2/1/14 16:44,Paseo de San Antonio,7,37,Subscriber,95126
693,2/1/14 16:51,SJSU - San Salvador at 9th,16,2/1/14 17:03,St James Park,13,40,Subscriber,95112
311,2/1/14 17:03,St James Park,13,2/1/14 17:08,SJSU 4th at San Carlos,12,705,Subscriber,95112
167156,2/1/14 17:07,Paseo de San Antonio,7,2/3/14 15:33,MLK Library,11,86,Customer,95076
1321,2/1/14 17:07,Paseo de San Antonio,7,2/1/14 17:29,MLK Library,11,117,Customer,95076
218,2/1/14 17:12,Santa Clara at Almaden,4,2/1/14 17:16,Arena Green / SAP Center,14,14,Subscriber,95113
972,2/1/14 17:30,MLK Library,11,2/1/14 17:47,Paseo de San Antonio,7,157,Customer,95076
496,2/1/14 17:33,Paseo de San Antonio,7,2/1/14 17:41,San Jose Diridon Caltrain Station,2,37,Subscriber,95112
366,2/1/14 17:40,SJSU - San Salvador at 9th,16,2/1/14 17:46,SJSU - San Salvador at 9th,16,307,Subscriber,95112
1183,2/1/14 17:47,Arena Green / SAP Center,14,2/1/14 18:07,Arena Green / SAP Center,14,80,Customer,94558
284,2/1/14 17:51,Santa Clara at Almaden,4,2/1/14 17:55,Paseo de San Antonio,7,684,Subscriber,95110
876,2/1/14 17:52,Arena Green / SAP Center,14,2/1/14 18:07,Arena Green / SAP Center,14,308,Customer,95624
359,2/1/14 18:10,Paseo de San Antonio,7,2/1/14 18:16,Santa Clara at Almaden,4,684,Subscriber,95110
576,2/1/14 18:43,Arena Green / SAP Center,14,2/1/14 18:52,St James Park,13,308,Subscriber,95112
254,2/1/14 18:55,San Pedro Square,6,2/1/14 18:59,Arena Green / SAP Center,14,190,Subscriber,95112
618,2/1/14 19:28,St James Park,13,2/1/14 19:39,SJSU - San Salvador at 9th,16,107,Subscriber,95112
1028,2/1/14 21:12,SJSU - San Salvador at 9th,16,2/1/14 21:29,San Pedro Square,6,307,Customer,94566
1000,2/1/14 21:12,SJSU - San Salvador at 9th,16,2/1/14 21:29,San Pedro Square,6,254,Customer,94566
879,2/1/14 21:14,SJSU - San Salvador at 9th,16,2/1/14 21:29,San Pedro Square,6,93,Customer,95126
554,2/1/14 21:20,SJSU - San Salvador at 9th,16,2/1/14 21:29,San Pedro Square,6,107,Customer,95126
294,2/1/14 21:25,Paseo de San Antonio,7,2/1/14 21:29,Santa Clara at Almaden,4,258,Subscriber,95112
215,2/1/14 22:17,Arena Green / SAP Center,14,2/1/14 22:21,San Pedro Square,6,46,Subscriber,95112
185,2/1/14 23:12,Arena Green / SAP Center,14,2/1/14 23:15,Santa Clara at Almaden,4,14,Subscriber,95113
614,2/1/14 23:24,SJSU - San Salvador at 9th,16,2/1/14 23:34,San Jose City Hall,10,92,Customer,92021
592,2/1/14 23:25,SJSU - San Salvador at 9th,16,2/1/14 23:35,San Jose City Hall,10,185,Customer,92021
362,2/1/14 23:45,Santa Clara at Almaden,4,2/1/14 23:51,Paseo de San Antonio,7,202,Subscriber,95112
565,2/2/14 0:09,San Pedro Square,6,2/2/14 0:19,SJSU 4th at San Carlos,12,242,Customer,95126
489,2/2/14 0:10,San Pedro Square,6,2/2/14 0:19,SJSU 4th at San Carlos,12,698,Customer,95126
473,2/2/14 0:11,San Pedro Square,6,2/2/14 0:19,SJSU 4th at San Carlos,12,307,Customer,94566
451,2/2/14 0:11,San Pedro Square,6,2/2/14 0:19,SJSU 4th at San Carlos,12,715,Customer,94566
265,2/2/14 0:32,SJSU 4th at San Carlos,12,2/2/14 0:37,SJSU - San Salvador at 9th,16,307,Customer,94566
208,2/2/14 0:33,SJSU 4th at San Carlos,12,2/2/14 0:37,SJSU - San Salvador at 9th,16,27,Customer,95126
1911,2/2/14 0:41,Santa Clara at Almaden,4,2/2/14 1:13,Santa Clara at Almaden,4,258,Customer,95119
1841,2/2/14 0:42,Santa Clara at Almaden,4,2/2/14 1:12,Santa Clara at Almaden,4,684,Customer,95119
926,2/2/14 1:11,San Jose City Hall,10,2/2/14 1:27,SJSU - San Salvador at 9th,16,176,Customer,92021
678,2/2/14 1:40,San Jose Diridon Caltrain Station,2,2/2/14 1:52,Japantown,9,130,Subscriber,95112
309,2/2/14 12:27,San Jose Diridon Caltrain Station,2,2/2/14 12:32,Santa Clara at Almaden,4,37,Subscriber,95113
255,2/2/14 14:23,SJSU - San Salvador at 9th,16,2/2/14 14:27,SJSU 4th at San Carlos,12,26,Subscriber,94044
244,2/2/14 15:41,Santa Clara at Almaden,4,2/2/14 15:45,San Jose Diridon Caltrain Station,2,37,Subscriber,95126
579,2/2/14 15:56,San Jose Diridon Caltrain Station,2,2/2/14 16:06,St James Park,13,140,Customer,15215
304,2/2/14 16:05,St James Park,13,2/2/14 16:10,Paseo de San Antonio,7,308,Subscriber,95112
321,2/2/14 17:45,Santa Clara at Almaden,4,2/2/14 17:51,San Jose Diridon Caltrain Station,2,14,Subscriber,95113
315,2/2/14 19:41,Paseo de San Antonio,7,2/2/14 19:46,St James Park,13,308,Subscriber,95112
495,2/2/14 19:52,San Jose Diridon Caltrain Station,2,2/2/14 20:00,San Pedro Square,6,14,Subscriber,95110
293,2/3/14 5:31,Santa Clara at Almaden,4,2/3/14 5:36,San Jose Diridon Caltrain Station,2,258,Subscriber,95110
541,2/3/14 6:51,SJSU - San Salvador at 9th,16,2/3/14 7:00,San Jose Diridon Caltrain Station,2,307,Subscriber,95112
195,2/3/14 6:57,San Jose Diridon Caltrain Station,2,2/3/14 7:00,Santa Clara at Almaden,4,186,Subscriber,95020
492,2/3/14 7:13,Paseo de San Antonio,7,2/3/14 7:21,Japantown,9,263,Subscriber,95112
594,2/3/14 7:31,San Jose City Hall,10,2/3/14 7:40,San Jose Diridon Caltrain Station,2,72,Subscriber,95113
905,2/3/14 7:33,San Jose Diridon Caltrain Station,2,2/3/14 7:48,San Jose City Hall,10,37,Subscriber,94502
359,2/3/14 7:42,San Jose Diridon Caltrain Station,2,2/3/14 7:48,San Pedro Square,6,72,Subscriber,94002
501,2/3/14 7:49,SJSU - San Salvador at 9th,16,2/3/14 7:57,San Pedro Square,6,242,Subscriber,95112
409,2/3/14 7:49,Paseo de San Antonio,7,2/3/14 7:56,San Jose Diridon Caltrain Station,2,643,Subscriber,95112
214,2/3/14 8:01,San Salvador at 1st,8,2/3/14 8:04,MLK Library,11,143,Subscriber,95113
503,2/3/14 8:07,Paseo de San Antonio,7,2/3/14 8:15,San Jose Diridon Caltrain Station,2,133,Subscriber,95113
313,2/3/14 8:17,San Jose Diridon Caltrain Station,2,2/3/14 8:22,Santa Clara at Almaden,4,307,Subscriber,94103
209,2/3/14 8:42,San Jose Diridon Caltrain Station,2,2/3/14 8:46,Adobe on Almaden,5,133,Subscriber,94002
363,2/3/14 8:46,San Jose Diridon Caltrain Station,2,2/3/14 8:52,San Jose Civic Center,3,660,Subscriber,94501
384,2/3/14 8:53,Santa Clara at Almaden,4,2/3/14 9:00,SJSU 4th at San Carlos,12,186,Subscriber,95110
406,2/3/14 9:55,San Jose City Hall,10,2/3/14 10:02,SJSU - San Salvador at 9th,16,37,Subscriber,95112
307,2/3/14 10:06,San Jose Diridon Caltrain Station,2,2/3/14 10:11,Adobe on Almaden,5,221,Subscriber,94117
256,2/3/14 10:07,San Jose Diridon Caltrain Station,2,2/3/14 10:11,Adobe on Almaden,5,208,Subscriber,94105
177,2/3/14 10:15,SJSU 4th at San Carlos,12,2/3/14 10:18,MLK Library,11,705,Subscriber,95112
312,2/3/14 11:53,San Jose City Hall,10,2/3/14 11:58,San Salvador at 1st,8,139,Subscriber,95113
384,2/3/14 11:54,San Jose City Hall,10,2/3/14 12:00,Adobe on Almaden,5,232,Subscriber,95112
182,2/3/14 12:31,San Jose Civic Center,3,2/3/14 12:34,Paseo de San Antonio,7,660,Subscriber,95112
281,2/3/14 12:40,Paseo de San Antonio,7,2/3/14 12:45,MLK Library,11,660,Subscriber,95112
281,2/3/14 12:48,San Salvador at 1st,8,2/3/14 12:52,MLK Library,11,249,Subscriber,95113
718,2/3/14 13:20,SJSU - San Salvador at 9th,16,2/3/14 13:32,San Jose Diridon Caltrain Station,2,37,Subscriber,95112
305,2/3/14 13:21,St James Park,13,2/3/14 13:26,San Pedro Square,6,308,Subscriber,95110
388,2/3/14 13:38,San Jose Diridon Caltrain Station,2,2/3/14 13:45,MLK Library,11,60,Subscriber,94043
477,2/3/14 13:53,San Pedro Square,6,2/3/14 14:01,San Jose Diridon Caltrain Station,2,308,Subscriber,95110
85,2/3/14 14:28,San Jose City Hall,10,2/3/14 14:30,MLK Library,11,39,Subscriber,95112
1263,2/3/14 14:33,San Jose City Hall,10,2/3/14 14:54,MLK Library,11,92,Subscriber,95112
156,2/3/14 15:00,Paseo de San Antonio,7,2/3/14 15:03,MLK Library,11,663,Subscriber,95112
190,2/3/14 15:48,Paseo de San Antonio,7,2/3/14 15:52,San Salvador at 1st,8,297,Subscriber,95112
388,2/3/14 15:55,San Pedro Square,6,2/3/14 16:02,San Jose Diridon Caltrain Station,2,46,Subscriber,94002
491,2/3/14 16:00,Japantown,9,2/3/14 16:08,Paseo de San Antonio,7,263,Subscriber,95112
504,2/3/14 16:05,San Jose City Hall,10,2/3/14 16:14,San Jose Diridon Caltrain Station,2,109,Subscriber,94502
558,2/3/14 16:23,Paseo de San Antonio,7,2/3/14 16:32,San Pedro Square,6,263,Subscriber,95110
1037,2/3/14 16:26,Japantown,9,2/3/14 16:43,Arena Green / SAP Center,14,148,Subscriber,95112
267,2/3/14 16:36,Santa Clara at Almaden,4,2/3/14 16:41,San Jose Diridon Caltrain Station,2,307,Subscriber,94103
1119,2/3/14 16:44,Arena Green / SAP Center,14,2/3/14 17:03,Arena Green / SAP Center,14,148,Subscriber,95112
819,2/3/14 17:02,Paseo de San Antonio,7,2/3/14 17:16,San Jose Diridon Caltrain Station,2,650,Subscriber,94117
707,2/3/14 17:03,Arena Green / SAP Center,14,2/3/14 17:15,San Jose City Hall,10,148,Subscriber,95112
320,2/3/14 17:04,Adobe on Almaden,5,2/3/14 17:09,San Jose Diridon Caltrain Station,2,208,Subscriber,94105
236,2/3/14 17:07,San Jose City Hall,10,2/3/14 17:11,San Salvador at 1st,8,654,Subscriber,95113
277,2/3/14 17:09,San Jose Diridon Caltrain Station,2,2/3/14 17:14,Santa Clara at Almaden,4,301,Subscriber,95110
801,2/3/14 17:17,San Jose City Hall,10,2/3/14 17:31,Japantown,9,148,Subscriber,95112
371,2/3/14 17:31,Adobe on Almaden,5,2/3/14 17:37,San Jose Diridon Caltrain Station,2,221,Subscriber,94117
307,2/3/14 17:41,San Jose Civic Center,3,2/3/14 17:46,San Jose Diridon Caltrain Station,2,44,Subscriber,94501
296,2/3/14 17:48,SJSU - San Salvador at 9th,16,2/3/14 17:53,MLK Library,11,159,Subscriber,95112
470,2/3/14 18:01,MLK Library,11,2/3/14 18:09,San Jose Diridon Caltrain Station,2,60,Subscriber,94043
557,2/3/14 18:40,San Jose Diridon Caltrain Station,2,2/3/14 18:49,Paseo de San Antonio,7,650,Subscriber,95113
336,2/3/14 18:53,Paseo de San Antonio,7,2/3/14 18:59,Paseo de San Antonio,7,650,Subscriber,95112
670,2/3/14 19:09,Paseo de San Antonio,7,2/3/14 19:20,SJSU - San Salvador at 9th,16,657,Subscriber,95112
660,2/3/14 19:14,San Jose Diridon Caltrain Station,2,2/3/14 19:25,SJSU - San Salvador at 9th,16,60,Subscriber,95112
696,2/3/14 19:20,San Jose Diridon Caltrain Station,2,2/3/14 19:32,MLK Library,11,43,Customer,95112
992,2/3/14 19:36,San Jose Diridon Caltrain Station,2,2/3/14 19:53,Japantown,9,643,Subscriber,95112
399,2/3/14 20:12,SJSU 4th at San Carlos,12,2/3/14 20:18,Santa Clara at Almaden,4,698,Subscriber,95110
293,2/3/14 20:32,MLK Library,11,2/3/14 20:37,SJSU - San Salvador at 9th,16,159,Subscriber,95112
441,2/3/14 22:14,SJSU 4th at San Carlos,12,2/3/14 22:21,Japantown,9,186,Subscriber,95112
160,2/4/14 0:25,Arena Green / SAP Center,14,2/4/14 0:27,Santa Clara at Almaden,4,190,Subscriber,95113
288,2/4/14 5:34,Santa Clara at Almaden,4,2/4/14 5:38,San Jose Diridon Caltrain Station,2,301,Subscriber,95110
616,2/4/14 6:12,San Salvador at 1st,8,2/4/14 6:22,San Jose Diridon Caltrain Station,2,297,Subscriber,95113
492,2/4/14 6:53,SJSU - San Salvador at 9th,16,2/4/14 7:02,San Jose Diridon Caltrain Station,2,705,Subscriber,95112
215,2/4/14 6:59,San Jose Diridon Caltrain Station,2,2/4/14 7:02,Santa Clara at Almaden,4,301,Subscriber,95020
688,2/4/14 7:19,Paseo de San Antonio,7,2/4/14 7:30,Japantown,9,650,Subscriber,95112
644,2/4/14 7:22,St James Park,13,2/4/14 7:33,San Jose Diridon Caltrain Station,2,205,Subscriber,95112
281,2/4/14 7:23,Santa Clara at Almaden,4,2/4/14 7:28,San Jose Diridon Caltrain Station,2,698,Subscriber,95110
555,2/4/14 7:29,San Jose City Hall,10,2/4/14 7:38,San Jose Diridon Caltrain Station,2,665,Subscriber,95113
732,2/4/14 7:35,San Jose Diridon Caltrain Station,2,2/4/14 7:47,San Jose City Hall,10,109,Subscriber,94502
391,2/4/14 7:49,Paseo de San Antonio,7,2/4/14 7:56,San Jose Diridon Caltrain Station,2,157,Subscriber,95112
223,2/4/14 7:58,San Salvador at 1st,8,2/4/14 8:01,MLK Library,11,654,Subscriber,95113
232,2/4/14 8:00,San Jose Diridon Caltrain Station,2,2/4/14 8:04,Santa Clara at Almaden,4,157,Subscriber,94041
290,2/4/14 8:30,San Jose Diridon Caltrain Station,2,2/4/14 8:35,Santa Clara at Almaden,4,307,Subscriber,94403
343,2/4/14 8:31,San Jose Diridon Caltrain Station,2,2/4/14 8:36,Santa Clara at Almaden,4,37,Subscriber,94103
394,2/4/14 8:45,San Jose Diridon Caltrain Station,2,2/4/14 8:51,San Pedro Square,6,665,Subscriber,94002
342,2/4/14 8:50,Santa Clara at Almaden,4,2/4/14 8:56,SJSU 4th at San Carlos,12,301,Subscriber,95110
170,2/4/14 8:58,San Salvador at 1st,8,2/4/14 9:01,SJSU 4th at San Carlos,12,209,Subscriber,95112
543,2/4/14 9:28,San Jose Civic Center,3,2/4/14 9:37,San Jose Diridon Caltrain Station,2,129,Customer,94085
308,2/4/14 10:06,San Jose City Hall,10,2/4/14 10:11,Santa Clara at Almaden,4,109,Subscriber,95112
613,2/4/14 10:11,Japantown,9,2/4/14 10:22,San Jose City Hall,10,148,Subscriber,95112
433,2/4/14 10:33,Paseo de San Antonio,7,2/4/14 10:41,San Jose Diridon Caltrain Station,2,55,Subscriber,95050
356,2/4/14 10:36,San Jose Diridon Caltrain Station,2,2/4/14 10:42,Adobe on Almaden,5,88,Subscriber,94117
135,2/4/14 10:47,Paseo de San Antonio,7,2/4/14 10:49,MLK Library,11,207,Subscriber,95112
631,2/4/14 11:29,San Jose City Hall,10,2/4/14 11:40,San Jose City Hall,10,211,Subscriber,94502
1793,2/4/14 12:29,San Jose Diridon Caltrain Station,2,2/4/14 12:59,San Jose Diridon Caltrain Station,2,208,Customer,
507,2/4/14 12:31,St James Park,13,2/4/14 12:40,Japantown,9,145,Subscriber,95136
207,2/4/14 12:47,San Salvador at 1st,8,2/4/14 12:51,MLK Library,11,211,Subscriber,95113
202,2/4/14 13:29,San Jose City Hall,10,2/4/14 13:32,Paseo de San Antonio,7,148,Subscriber,95112
910,2/4/14 13:41,Japantown,9,2/4/14 13:56,St James Park,13,649,Subscriber,95136
123,2/4/14 13:55,SJSU 4th at San Carlos,12,2/4/14 13:57,MLK Library,11,209,Subscriber,95112
696,2/4/14 14:43,San Jose Diridon Caltrain Station,2,2/4/14 14:55,Japantown,9,44,Subscriber,94043
502,2/4/14 14:52,San Jose City Hall,10,2/4/14 15:00,San Jose City Hall,10,21,Subscriber,95112
330,2/4/14 14:55,San Salvador at 1st,8,2/4/14 15:00,San Jose City Hall,10,139,Subscriber,95070
631,2/4/14 15:05,MLK Library,11,2/4/14 15:15,Japantown,9,49,Subscriber,95112
384,2/4/14 15:20,San Jose City Hall,10,2/4/14 15:26,San Salvador at 1st,8,21,Subscriber,95070
1250,2/4/14 15:36,San Salvador at 1st,8,2/4/14 15:57,SJSU - San Salvador at 9th,16,20,Subscriber,95112
434,2/4/14 16:08,San Jose City Hall,10,2/4/14 16:15,San Jose Diridon Caltrain Station,2,139,Subscriber,94502
435,2/4/14 16:28,Adobe on Almaden,5,2/4/14 16:35,San Jose Diridon Caltrain Station,2,88,Subscriber,94117
236,2/4/14 16:28,Santa Clara at Almaden,4,2/4/14 16:32,San Jose Diridon Caltrain Station,2,308,Subscriber,95020
234,2/4/14 16:37,Santa Clara at Almaden,4,2/4/14 16:41,San Jose Diridon Caltrain Station,2,37,Subscriber,94103
578,2/4/14 16:41,Japantown,9,2/4/14 16:51,Santa Clara at Almaden,4,650,Subscriber,95112
603,2/4/14 16:46,San Jose Diridon Caltrain Station,2,2/4/14 16:56,San Jose Civic Center,3,205,Customer,94085
1173,2/4/14 16:48,St James Park,13,2/4/14 17:08,Japantown,9,40,Customer,95126
239,2/4/14 16:48,Santa Clara at Almaden,4,2/4/14 16:52,San Jose Diridon Caltrain Station,2,307,Subscriber,94403
1128,2/4/14 16:50,St James Park,13,2/4/14 17:09,Japantown,9,140,Customer,95126
605,2/4/14 17:09,San Jose Diridon Caltrain Station,2,2/4/14 17:19,San Jose Civic Center,3,139,Subscriber,95113
562,2/4/14 17:10,San Jose Diridon Caltrain Station,2,2/4/14 17:20,St James Park,13,308,Subscriber,95112
279,2/4/14 17:11,San Jose Diridon Caltrain Station,2,2/4/14 17:15,Santa Clara at Almaden,4,698,Subscriber,95110
393,2/4/14 17:15,San Pedro Square,6,2/4/14 17:21,San Jose Diridon Caltrain Station,2,665,Subscriber,94002
302,2/4/14 17:16,SJSU - San Salvador at 9th,16,2/4/14 17:21,San Salvador at 1st,8,20,Subscriber,95112
459,2/4/14 17:19,San Pedro Square,6,2/4/14 17:26,San Jose Diridon Caltrain Station,2,297,Subscriber,95377
1537,2/4/14 17:21,San Salvador at 1st,8,2/4/14 17:47,San Salvador at 1st,8,20,Subscriber,95112
237,2/4/14 17:34,Santa Clara at Almaden,4,2/4/14 17:38,San Jose Diridon Caltrain Station,2,698,Subscriber,94041
650,2/4/14 17:47,San Salvador at 1st,8,2/4/14 17:58,Paseo de San Antonio,7,20,Subscriber,95112
276,2/4/14 17:52,San Jose City Hall,10,2/4/14 17:56,San Pedro Square,6,185,Subscriber,95112
1578,2/4/14 17:54,MLK Library,11,2/4/14 18:21,San Jose Civic Center,3,209,Subscriber,95112
564,2/4/14 18:13,San Jose Diridon Caltrain Station,2,2/4/14 18:22,Paseo de San Antonio,7,698,Subscriber,95113
173,2/4/14 19:08,Santa Clara at Almaden,4,2/4/14 19:11,San Jose City Hall,10,109,Subscriber,95112
551,2/4/14 19:10,Paseo de San Antonio,7,2/4/14 19:19,SJSU - San Salvador at 9th,16,157,Subscriber,95112
749,2/4/14 19:13,San Jose Diridon Caltrain Station,2,2/4/14 19:25,Paseo de San Antonio,7,88,Subscriber,95113
584,2/4/14 19:14,San Jose Diridon Caltrain Station,2,2/4/14 19:24,SJSU - San Salvador at 9th,16,208,Subscriber,95112
540,2/4/14 20:14,San Jose Diridon Caltrain Station,2,2/4/14 20:23,MLK Library,11,665,Customer,95112
404,2/4/14 20:18,St James Park,13,2/4/14 20:25,San Jose Diridon Caltrain Station,2,108,Subscriber,94108
358,2/4/14 20:40,SJSU 4th at San Carlos,12,2/4/14 20:46,Santa Clara at Almaden,4,301,Subscriber,95110
665,2/4/14 21:01,San Jose Diridon Caltrain Station,2,2/4/14 21:12,Japantown,9,221,Subscriber,95112
448,2/4/14 21:35,San Jose Diridon Caltrain Station,2,2/4/14 21:42,San Salvador at 1st,8,23,Subscriber,95112
455,2/5/14 0:11,San Jose Diridon Caltrain Station,2,2/5/14 0:19,San Jose Civic Center,3,108,Customer,
251,2/5/14 5:34,Santa Clara at Almaden,4,2/5/14 5:38,San Jose Diridon Caltrain Station,2,301,Subscriber,95110
414,2/5/14 6:29,St James Park,13,2/5/14 6:36,San Jose Diridon Caltrain Station,2,308,Subscriber,95112
466,2/5/14 6:43,Paseo de San Antonio,7,2/5/14 6:51,San Jose Diridon Caltrain Station,2,148,Subscriber,95112
246,2/5/14 6:57,San Jose Diridon Caltrain Station,2,2/5/14 7:01,Santa Clara at Almaden,4,308,Subscriber,95020
786,2/5/14 7:18,Paseo de San Antonio,7,2/5/14 7:32,Japantown,9,698,Subscriber,95112
902,2/5/14 7:35,San Jose Diridon Caltrain Station,2,2/5/14 7:50,San Jose City Hall,10,148,Subscriber,94502
537,2/5/14 7:33,SJSU - San Salvador at 9th,16,2/5/14 7:42,San Jose Diridon Caltrain Station,2,208,Subscriber,95112
210,2/5/14 8:02,San Salvador at 1st,8,2/5/14 8:05,MLK Library,11,23,Subscriber,95113
249,2/5/14 8:02,San Jose Diridon Caltrain Station,2,2/5/14 8:06,Santa Clara at Almaden,4,186,Subscriber,94041
524,2/5/14 8:22,San Jose Civic Center,3,2/5/14 8:31,San Jose Diridon Caltrain Station,2,135,Customer,94085
244,2/5/14 8:32,San Jose Diridon Caltrain Station,2,2/5/14 8:36,Santa Clara at Almaden,4,39,Subscriber,94403
654,2/5/14 8:33,San Jose Diridon Caltrain Station,2,2/5/14 8:44,MLK Library,11,129,Subscriber,94041
330,2/5/14 8:34,San Jose Diridon Caltrain Station,2,2/5/14 8:40,Santa Clara at Almaden,4,307,Subscriber,94103
323,2/5/14 8:44,San Jose Diridon Caltrain Station,2,2/5/14 8:49,San Pedro Square,6,705,Subscriber,94002
1781,2/5/14 9:03,MLK Library,11,2/5/14 9:33,Paseo de San Antonio,7,249,Subscriber,95126
259,2/5/14 9:04,San Jose Diridon Caltrain Station,2,2/5/14 9:08,Adobe on Almaden,5,208,Subscriber,94105
461,2/5/14 10:02,San Jose Diridon Caltrain Station,2,2/5/14 10:09,St James Park,13,46,Subscriber,94108
498,2/5/14 10:59,San Jose Civic Center,3,2/5/14 11:07,San Jose Diridon Caltrain Station,2,209,Customer,
978,2/5/14 11:34,San Jose City Hall,10,2/5/14 11:50,Japantown,9,109,Subscriber,95112
99993,2/5/14 11:50,St James Park,13,2/6/14 15:37,San Pedro Square,6,46,Customer,95113
897,2/5/14 11:51,Japantown,9,2/5/14 12:06,San Jose Government Center,80,109,Subscriber,95112
852,2/5/14 12:05,San Salvador at 1st,8,2/5/14 12:19,San Salvador at 1st,8,647,Subscriber,95113
943,2/5/14 12:07,San Jose Government Center,80,2/5/14 12:22,San Pedro Square,6,109,Subscriber,95112
271,2/5/14 12:23,San Pedro Square,6,2/5/14 12:28,Paseo de San Antonio,7,109,Subscriber,95112
161,2/5/14 12:48,Paseo de San Antonio,7,2/5/14 12:51,MLK Library,11,20,Subscriber,95112
209,2/5/14 13:19,Santa Clara at Almaden,4,2/5/14 13:22,Arena Green / SAP Center,14,308,Subscriber,95113
172,2/5/14 16:01,Adobe on Almaden,5,2/5/14 16:04,San Jose Diridon Caltrain Station,2,133,Subscriber,94002
436,2/5/14 16:09,San Jose City Hall,10,2/5/14 16:16,San Jose Diridon Caltrain Station,2,148,Subscriber,94502
295,2/5/14 16:32,San Jose City Hall,10,2/5/14 16:37,MLK Library,11,59,Subscriber,95112
533,2/5/14 16:42,Japantown,9,2/5/14 16:51,Santa Clara at Almaden,4,698,Subscriber,95112
426,2/5/14 16:47,San Pedro Square,6,2/5/14 16:54,San Jose Diridon Caltrain Station,2,710,Subscriber,94002
291,2/5/14 16:54,Santa Clara at Almaden,4,2/5/14 16:59,San Jose Diridon Caltrain Station,2,56,Subscriber,94403
331,2/5/14 17:08,San Jose Diridon Caltrain Station,2,2/5/14 17:13,Santa Clara at Almaden,4,684,Subscriber,95110
305,2/5/14 17:12,San Jose City Hall,10,2/5/14 17:17,San Salvador at 1st,8,717,Subscriber,95113
416,2/5/14 17:34,San Jose Diridon Caltrain Station,2,2/5/14 17:41,San Jose Civic Center,3,710,Customer,
267,2/5/14 17:34,Santa Clara at Almaden,4,2/5/14 17:39,San Jose Diridon Caltrain Station,2,672,Subscriber,94041
472,2/5/14 17:35,St James Park,13,2/5/14 17:43,San Jose Diridon Caltrain Station,2,92,Subscriber,94108
349,2/5/14 18:08,Santa Clara at Almaden,4,2/5/14 18:14,San Jose Diridon Caltrain Station,2,307,Subscriber,94103
335,2/5/14 18:41,San Jose Diridon Caltrain Station,2,2/5/14 18:47,Santa Clara at Almaden,4,301,Subscriber,95110
442,2/5/14 18:42,San Jose Diridon Caltrain Station,2,2/5/14 18:49,San Pedro Square,6,209,Subscriber,94107
1568,2/5/14 18:42,MLK Library,11,2/5/14 19:08,SJSU - San Salvador at 9th,16,654,Subscriber,95126
576,2/5/14 19:37,San Jose Diridon Caltrain Station,2,2/5/14 19:47,SJSU - San Salvador at 9th,16,672,Subscriber,95112
385,2/5/14 20:15,San Jose Diridon Caltrain Station,2,2/5/14 20:22,Paseo de San Antonio,7,148,Subscriber,95112
209,2/5/14 20:33,Arena Green / SAP Center,14,2/5/14 20:36,Santa Clara at Almaden,4,308,Subscriber,95113
367,2/5/14 21:19,MLK Library,11,2/5/14 21:25,San Jose Diridon Caltrain Station,2,214,Subscriber,94118
1458,2/5/14 23:02,San Pedro Square,6,2/5/14 23:26,San Jose City Hall,10,14,Customer,95136
